seed,arm,mu_rel,auc_source,auc_PR,auc_SD
0,vanilla,0.0,0.8444374853920766,0.821554865473385,0.7833965517241379
0,causal,0.25,0.8444374853920766,0.821554865473385,0.7833965517241379
0,causal,0.5,0.8444374853920766,0.821554865473385,0.7833965517241379
0,causal,1.0,0.8444374853920766,0.821554865473385,0.7833965517241379
0,causal,2.0,0.8398863347050869,0.8295209139560361,0.7873274294670846
0,causal,4.0,0.8398863347050869,0.8295209139560361,0.7873274294670846
0,causal_ce,0.25,0.8444374853920766,0.821554865473385,0.7833965517241379
0,causal_ce,0.5,0.8444374853920766,0.821554865473385,0.7833965517241379
0,causal_ce,1.0,0.8398863347050869,0.8295209139560361,0.7873274294670846
0,causal_ce,2.0,0.8398863347050869,0.8295209139560361,0.7873274294670846
0,causal_ce,4.0,0.8398863347050869,0.8295209139560361,0.7873274294670846
0,cfs_iamb,,0.6623152880265112,0.5863684250625935,0.6210753918495298
0,cfs_hiton_mb,,0.6623152880265112,0.5863684250625935,0.6210753918495298
0,cfs_cg,,0.6573676365632148,0.5642994790229907,0.6187371473354233
1,vanilla,0.0,0.8335291037104564,0.8250476221268432,0.7952729253750458
1,causal,0.25,0.8335291037104564,0.8250476221268432,0.7952729253750458
1,causal,0.5,0.8335291037104564,0.8250476221268432,0.7952729253750458
1,causal,1.0,0.8335291037104564,0.8250476221268432,0.7952729253750458
1,causal,2.0,0.8339317648427953,0.8302075839752553,0.7919072363811754
1,causal,4.0,0.8339317648427953,0.8302075839752553,0.7919072363811754
1,causal_ce,0.25,0.8335291037104564,0.8250476221268432,0.7952729253750458
1,causal_ce,0.5,0.8335291037104564,0.8250476221268432,0.7952729253750458
1,causal_ce,1.0,0.8339317648427953,0.8302075839752553,0.7919072363811754
1,causal_ce,2.0,0.8339317648427953,0.8302075839752553,0.7919072363811754
1,causal_ce,4.0,0.8339317648427953,0.8302075839752553,0.7919072363811754
1,cfs_iamb,,0.6503402706389692,0.573260276814558,0.6213892461355064
1,cfs_hiton_mb,,0.6495780075127207,0.5676355445627251,0.6202294958579897
1,cfs_cg,,0.6487338932314397,0.5577716347254891,0.6190986092144706
2,vanilla,0.0,0.8418247093559744,0.8112352338223187,0.7672134997950755
2,causal,0.25,0.8418247093559744,0.8112352338223187,0.7672134997950755
2,causal,0.5,0.8418247093559744,0.8112352338223187,0.7672134997950755
2,causal,1.0,0.8418247093559744,0.8112352338223187,0.7672134997950755
2,causal,2.0,0.8418247093559744,0.8112352338223187,0.7672134997950755
2,causal,4.0,0.8418247093559744,0.8112352338223187,0.7672134997950755
2,causal_ce,0.25,0.8418247093559744,0.8112352338223187,0.7672134997950755
2,causal_ce,0.5,0.8418247093559744,0.8112352338223187,0.7672134997950755
2,causal_ce,1.0,0.8418247093559744,0.8112352338223187,0.7672134997950755
2,causal_ce,2.0,0.8418247093559744,0.8112352338223187,0.7672134997950755
2,causal_ce,4.0,0.8418247093559744,0.8112352338223187,0.7672134997950755
2,cfs_iamb,,0.6616104846259239,0.5862956428223355,0.6311461584539235
2,cfs_hiton_mb,,0.6613492286772032,0.5842388802070205,0.6301823827989533
2,cfs_cg,,0.6621866633857381,0.5594666532237739,0.6282616097607112
3,vanilla,0.0,0.8371627908657919,0.8252461652718421,0.7757161656519533
3,causal,0.25,0.8371627908657919,0.8252461652718421,0.7757161656519533
3,causal,0.5,0.8371627908657919,0.8252461652718421,0.7757161656519533
3,causal,1.0,0.8371627908657919,0.8252461652718421,0.7757161656519533
3,causal,2.0,0.8371627908657919,0.8252461652718421,0.7757161656519533
3,causal,4.0,0.8371627908657919,0.8252461652718421,0.7757161656519533
3,causal_ce,0.25,0.8371627908657919,0.8252461652718421,0.7757161656519533
3,causal_ce,0.5,0.8371627908657919,0.8252461652718421,0.7757161656519533
3,causal_ce,1.0,0.8371627908657919,0.8252461652718421,0.7757161656519533
3,causal_ce,2.0,0.8371627908657919,0.8252461652718421,0.7757161656519533
3,causal_ce,4.0,0.8371627908657919,0.8252461652718421,0.7757161656519533
3,cfs_iamb,,0.6379667123129227,0.5695195803180366,0.6182854515474379
3,cfs_hiton_mb,,0.6330743269759045,0.5704931749227106,0.6196082255200407
3,cfs_cg,,0.6314618626564056,0.5560610102227435,0.6179241184677828
4,vanilla,0.0,0.8461281899149581,0.8075439699505086,0.7957967187131672
4,causal,0.25,0.8461281899149581,0.8075439699505086,0.7957967187131672
4,causal,0.5,0.8461281899149581,0.8075439699505086,0.7957967187131672
4,causal,1.0,0.8461281899149581,0.8075439699505086,0.7957967187131672
4,causal,2.0,0.8461281899149581,0.8075439699505086,0.7957967187131672
4,causal,4.0,0.8460500608658814,0.8020541342232111,0.7888708235256349
4,causal_ce,0.25,0.8461281899149581,0.8075439699505086,0.7957967187131672
4,causal_ce,0.5,0.8461281899149581,0.8075439699505086,0.7957967187131672
4,causal_ce,1.0,0.8460500608658814,0.8020541342232111,0.7888708235256349
4,causal_ce,2.0,0.8460500608658814,0.8020541342232111,0.7888708235256349
4,causal_ce,4.0,0.8460500608658814,0.8020541342232111,0.7888708235256349
4,cfs_iamb,,0.6427491214349754,0.5812745240283085,0.6201689709446644
4,cfs_hiton_mb,,0.6434647886815504,0.5725666199158486,0.618199720458961
4,cfs_cg,,0.6436830601008355,0.5582866631200529,0.6169217691089212
5,vanilla,0.0,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal,0.25,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal,0.5,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal,1.0,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal,2.0,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal,4.0,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal_ce,0.25,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal_ce,0.5,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal_ce,1.0,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal_ce,2.0,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal_ce,4.0,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,cfs_iamb,,0.6526835928048462,0.5695450338027095,0.6221236949435259
5,cfs_hiton_mb,,0.6526835928048462,0.5695450338027095,0.6221236949435259
5,cfs_cg,,0.6469479678898998,0.5449809284584612,0.6179737997040262
